종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"004365","세방우","KOSPI","운송·창고","7630","0","0.00","28148977500"
"004490","세방전지","KOSPI","전기·전자","72400","1400","1.97","1013600000000"
"001430","세아베스틸지주","KOSPI","금속","19230","-210","-1.08","689628548370"
"306200","세아제강","KOSPI","금속","119800","1000","0.84","339788740000"
"003030","세아제강지주","KOSPI","기타금융","178000","900","0.51","737214946000"
"019440","세아특수강","KOSPI","금속","13100","20","0.15","112267000000"
"058650","세아홀딩스","KOSPI","금속","93800","-800","-0.85","375200000000"
"013000","세우글로벌","KOSPI","유통","1591","51","3.31","45669704321"
"091090","세원이앤씨","KOSPI","금속","1270","0","0.00","66998498210"
"021820","세원정공","KOSPI","운송장비·부품","7400","140","1.93","74000000000"
"067830","세이브존I&C","KOSPI","유통","2000","15","0.76","82081790000"
"075580","세진중공업","KOSPI","운송장비·부품","8490","-260","-2.97","482651881440"
"068270","셀트리온","KOSPI","제약","180900","600","0.33","39269510418600"
"336370","솔루스첨단소재","KOSPI","전기·전자","8720","540","6.60","612295239680"
"33637K","솔루스첨단소재1우","KOSPI","전기·전자","2005","88","4.59","33902075830"
"33637L","솔루스첨단소재2우B","KOSPI","전기·전자","4290","270","6.72","16208889840"
"248070","솔루엠","KOSPI","전기·전자","19930","80","0.40","996610631430"
"004430","송원산업","KOSPI","화학","11000","190","1.76","264000000000"
"126720","수산인더스트리","KOSPI","건설","19700","-10","-0.05","281434200000"
"017550","수산중공업","KOSPI","기계·장비","1906","1","0.05","118932741780"
"053210","스카이라이프","KOSPI","오락·문화","4585","-65","-1.40","217892748675"
"204210","스타에스엠리츠","KOSPI","부동산","2570","70","2.80","20114914550"
"026890","스틱인베스트먼트","KOSPI","기타금융","8640","-60","-0.69","360099432000"
"134790","시디즈","KOSPI","기타제조","22450","200","0.90","44900000000"
"462870","시프트업","KOSPI","IT 서비스","60400","-800","-1.31","3523417088000"
"016590","신대양제지","KOSPI","종이·목재","5670","-40","-0.70","228488639400"
