종목코드,종목명,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"180400","DXVX","중견기업부","1859","30","1.64","1828","1915","1800","611145","1139893447","91498924088","49219432"
"245620","EDGC","관리종목(소속부없음)","415","0","0.00","0","0","0","0","0","57474989665","138493951"
"037370","EG","중견기업부","5750","90","1.59","5760","5780","5660","5077","29063110","49593589000","8624972"
"050120","ES큐브","중견기업부","1894","37","1.99","1910","1910","1764","3784","7077171","25690378884","13564086"
"214270","FSN","중견기업부","1806","0","0.00","1830","1832","1775","102870","185156010","60050336178","33250463"
"130500","GH신소재","우량기업부","2720","-10","-0.37","2700","2750","2650","149102","404984625","39562541440","14545052"
"900290","GRT","외국기업(소속부없음)","3275","60","1.87","3215","3320","3125","57146","186949285","264783750000","80850000"
"083450","GST","우량기업부","16740","440","2.70","16280","16830","16080","200224","3326929360","311669672400","18618260"
"297890","HB솔루션","우량기업부","2705","25","0.93","2665","2735","2610","225177","605672500","197846172370","73140914"
"440290","HB인베스트먼트","중견기업부","1580","-19","-1.19","1598","1610","1580","29807","47512850","42829075800","27107010"
"078150","HB테크놀러지","우량기업부","1947","24","1.25","1903","1958","1876","357331","690574643","180517888452","92715916"
"195940","HK이노엔","중견기업부","35850","600","1.70","35250","36350","34800","139439","5006266900","1015626592350","28329891"
"028300","HLB","중견기업부","73100","2800","3.98","69800","73300","69400","891957","64188225300","9604421352300","131387433"
"278650","HLB바이오스텝","우량기업부","2095","95","4.75","1999","2100","1995","253273","521246214","181700583955","86730589"
"067630","HLB생명과학","중견기업부","10010","260","2.67","9750","10060","9730","410221","4084062910","1220055176340","121883634"
"024850","HLB이노베이션","중견기업부","2510","205","8.89","2345","2530","2250","820163","1992865180","362203348730","144304123"
"187420","HLB제넥스","기술성장기업부","4460","165","3.84","4300","4485","4200","241914","1068191325","129724309280","29086168"
"047920","HLB제약","기술성장기업부","24100","500","2.12","23600","24350","23250","292357","6988234600","766741355400","31814994"
"115450","HLB테라퓨틱스","중견기업부","11710","200","1.74","11480","11880","11250","1018419","11786769000","938438615430","80139933"
"046210","HLB파나진","벤처기업부","2820","105","3.87","2715","2895","2715","119324","332790590","119870633940","42507317"
"403870","HPSP","중견기업부","26050","450","1.76","25450","26300","25150","404503","10420884100","2167750124800","83214976"
"036640","HRS","우량기업부","4625","10","0.22","4615","4675","4575","12912","59733380","75640950000","16354800"
"439730","IBKS제20호스팩","SPAC(소속부없음)","2150","0","0.00","0","0","0","0","0","9266500000","4310000"
"442770","IBKS제21호스팩","SPAC(소속부없음)","2085","20","0.97","2075","2110","2070","918","1911080","8777850000","4210000"
"448760","IBKS제22호스팩","SPAC(소속부없음)","2100","0","0.00","2125","2125","2080","20122","42192105","9303000000","4430000"
"467930","IBKS제23호스팩","SPAC(소속부없음)","2055","20","0.98","2040","2075","2040","31646","65150645","8692650000","4230000"
"469480","IBKS제24호스팩","SPAC(소속부없음)","2065","30","1.47","2035","2070","2035","8873","18265445","8734950000","4230000"
"095340","ISC","우량기업부","72100","1400","1.98","70600","72100","69500","136640","9795618800","1528307881800","21197058"
"950170","JTC","외국기업(소속부없음)","4020","0","0.00","4020","4050","3965","47117","188647110","208020318960","51746348"
"067290","JW신약","중견기업부","1509","27","1.82","1481","1515","1470","35400","52978145","76719826518","50841502"
"035900","JYP Ent.","우량기업부","69900","1300","1.90","68100","70600","67400","246990","17093309300","2483721190800","35532492"
"318000","KBG","벤처기업부","4680","-35","-0.74","4715","4730","4625","8856","41322290","40904243640","8740223"
"024840","KBI메탈","중견기업부","1933","0","0.00","1941","1953","1902","468875","904490180","67479481667","34909199"
"024120","KB오토시스","중견기업부","3160","45","1.44","3115","3160","3100","4387","13648970","36340000000","11500000"
"455250","KB제25호스팩","SPAC(소속부없음)","2040","10","0.49","2040","2040","2025","2806","5708825","8782200000","4305000"
"458320","KB제26호스팩","SPAC(소속부없음)","2135","25","1.18","2085","2185","2085","13977","29744850","11753175000","5505000"
